date,campaign_name,impressions,clicks,cost,conversions,revenue
2025-01-01,Search_Brand,5200,312,468000,42,2100000
2025-01-01,Search_Generic,8200,246,615000,28,1400000
2025-01-01,Display_Remarketing,12000,180,360000,21,1050000
2025-01-01,Social_Ads,15000,450,900000,54,2700000
2025-01-01,Video_Ads,20000,300,750000,34,1700000
2025-01-02,Search_Brand,5200,312,468000,42,2100000
2025-01-02,Search_Generic,8200,246,615000,28,1400000
2025-01-02,Display_Remarketing,12000,180,360000,21,1050000
2025-01-02,Social_Ads,15000,450,900000,54,2700000
2025-01-02,Video_Ads,20000,300,750000,34,1700000
2025-01-03,Search_Brand,5200,312,468000,42,2100000
2025-01-03,Search_Generic,8200,246,615000,28,1400000
2025-01-03,Display_Remarketing,12000,180,360000,21,1050000
2025-01-03,Social_Ads,15000,450,900000,54,2700000
2025-01-03,Video_Ads,20000,300,750000,34,1700000
2025-01-04,Search_Brand,5200,312,468000,42,2100000
2025-01-04,Search_Generic,8200,246,615000,28,1400000
2025-01-04,Display_Remarketing,12000,180,360000,21,1050000
2025-01-04,Social_Ads,15000,450,900000,54,2700000
2025-01-04,Video_Ads,20000,300,750000,34,1700000
2025-01-05,Search_Brand,5200,312,468000,42,2100000
2025-01-05,Search_Generic,8200,246,615000,28,1400000
2025-01-05,Display_Remarketing,12000,180,360000,21,1050000
2025-01-05,Social_Ads,15000,450,900000,54,2700000
2025-01-05,Video_Ads,20000,300,750000,34,1700000
2025-01-06,Search_Brand,5200,312,468000,42,2100000
2025-01-06,Search_Generic,8200,246,615000,28,1400000
2025-01-06,Display_Remarketing,12000,180,360000,21,1050000
2025-01-06,Social_Ads,15000,450,900000,54,2700000
2025-01-06,Video_Ads,20000,300,750000,34,1700000
2025-01-07,Search_Brand,5200,312,468000,42,2100000
2025-01-07,Search_Generic,8200,246,615000,28,1400000
2025-01-07,Display_Remarketing,12000,180,360000,21,1050000
2025-01-07,Social_Ads,15000,450,900000,54,2700000
2025-01-07,Video_Ads,20000,300,750000,34,1700000
2025-01-08,Search_Brand,5200,312,468000,42,2100000
2025-01-08,Search_Generic,8200,246,615000,28,1400000
2025-01-08,Display_Remarketing,12000,180,360000,21,1050000
2025-01-08,Social_Ads,15000,450,900000,54,2700000
2025-01-08,Video_Ads,20000,300,750000,34,1700000
2025-01-09,Search_Brand,5200,312,468000,42,2100000
2025-01-09,Search_Generic,8200,246,615000,28,1400000
2025-01-09,Display_Remarketing,12000,180,360000,21,1050000
2025-01-09,Social_Ads,15000,450,900000,54,2700000
2025-01-09,Video_Ads,20000,300,750000,34,1700000
2025-01-10,Search_Brand,5200,312,468000,42,2100000
2025-01-10,Search_Generic,8200,246,615000,28,1400000
2025-01-10,Display_Remarketing,12000,180,360000,21,1050000
2025-01-10,Social_Ads,15000,450,900000,54,2700000
2025-01-10,Video_Ads,20000,300,750000,34,1700000
2025-01-11,Search_Brand,5200,312,468000,42,2100000
2025-01-11,Search_Generic,8200,246,615000,28,1400000
2025-01-11,Display_Remarketing,12000,180,360000,21,1050000
2025-01-11,Social_Ads,15000,450,900000,54,2700000
2025-01-11,Video_Ads,20000,300,750000,34,1700000
2025-01-12,Search_Brand,5200,312,468000,42,2100000
2025-01-12,Search_Generic,8200,246,615000,28,1400000
2025-01-12,Display_Remarketing,12000,180,360000,21,1050000
